No.,Name,%,Candidate,Party,Votes,%,Candidate,Party,Votes,%,Margin
1,Gummidipoondi,78.84,T. J. Govindrajan,DMK,"126,452",56.94,Prakash M,PMK,"75,514",34.00,"50,938"
2,Ponneri(SC),78.68,Durai Chandrasekar,INC,"94,528",44.94,P. Balaraman,ADMK,"84,839",40.33,"9,689"
3,Tiruttani,79.85,S. Chandran,DMK,"120,314",51.72,G. Hari,ADMK,"91,061",39.15,"29,253"
4,Thiruvallur,77.91,V. G. Raajendran,DMK,"107,709",50.27,B. V. Ramanaa,ADMK,"85,008",39.68,"22,701"
5,Poonamallee(SC),73.62,A. Krishnaswamy,DMK,"149,578",56.72,S. X. Rajamannar,PMK,"55,468",21.03,"94,110"
6,Avadi,67.96,S. M. Nasar,DMK,"150,287",49.94,K. Pandiarajan,ADMK,"95,012",31.57,"55,275"
7,Maduravoyal,60.56,K. Ganapathy,DMK,"121,298",44.29,P. Benjamin,ADMK,"89,577",32.71,"31,721"
8,Ambattur,62.52,Joseph Samuel,DMK,"114,554",47.67,V. Alexander,ADMK,"72,408",30.13,"42,146"
9,Madavaram,66.60,S. Sudharsanam,DMK,"151,485",50.04,V. Moorthy,ADMK,"94,414",31.19,"57,071"
10,Thiruvottiyur,65.36,K. P. Shankar,DMK,"88,185",44.34,K. Kuppan,ADMK,"50,524",25.40,"37,661"
11,Dr. Radhakrishnan Nagar,71.12,J. John Ebenezer,DMK,"95,763",51.20,R. S. Raajesh,ADMK,"53,284",28.49,"42,479"
12,Perambur,63.43,R. D. Sekar,DMK,"105,267",52.53,N. R. Dhanapalan,ADMK,"50,291",25.10,"54,976"
13,Kolathur,61.66,M. K. Stalin,DMK,"105,522",60.86,Aadhi Rajaram,ADMK,"35,138",20.27,"70,384"
14,Villivakkam,56.43,A. Vetriazhagan,DMK,"76,127",52.83,J. C. D. Prabhakar,ADMK,"38,890",26.99,"37,237"
15,Thiru-Vi-Ka-Nagar(SC),60.93,P. Sivakumar,DMK,"81,727",61.13,P. L. Kalyani,ADMK,"26,714",19.98,"55,013"
16,Egmore(SC),61.75,I. Paranthamen,DMK,"68,832",57.71,B. John Pandian,ADMK,"30,064",25.21,"38,768"
17,Royapuram,62.91,Idream R. Murthy,DMK,"64,424",53.16,D. Jayakumar,ADMK,"36,645",30.24,"27,779"
18,Harbour,57.83,P. K. Sekar Babu,DMK,"59,317",58.35,Vinoj P. Selvam,BJP,"32,043",31.52,"27,274"
19,Chepauk-Thiruvallikeni,58.70,Udhayanidhi Stalin,DMK,"93,285",67.89,A. V. A. Kassali,PMK,"23,930",17.42,"69,355"
20,Thousand Lights,56.62,Ezhilan Naganathan,DMK,"49,080",53.88,Khushbu,BJP,"25,079",27.53,"24,001"
21,Anna Nagar,57.71,M. K. Mohan,DMK,"80,054",48.49,S. Gokula Indira,ADMK,"52,609",31.87,"27,445"
22,Virugampakkam,57.97,A. M. V. Prabhakara Raja,DMK,"74,351",43.97,Virugai V. N. Ravi,ADMK,"55,984",33.11,"18,367"
23,Saidapet,57.46,Ma.Subramanian,DMK,"80,194",50.02,S. Duraisamy,ADMK,"50,786",31.68,"29,408"
24,Thiyagaraya Nagar,56.36,J. Karunanithi,DMK,"56,035",40.57,B. Sathyanarayanan,ADMK,"55,898",40.47,137
25,Mylapore,56.71,Dha. Velu,DMK,"68,392",44.58,R. Nataraj,ADMK,"55,759",36.34,"12,633"
26,Velachery,56.17,Aassan Maulaana,INC,"68,493",38.76,M. K. Ashok,ADMK,"64,141",36.30,"4,352"
27,Shozhinganallur,55.57,S. Aravind Ramesh,DMK,"171,558",44.18,K. P. Kandan,ADMK,"136,153",35.06,"35,405"
28,Alandur,61.10,T. M. Anbarasan,DMK,"116,785",49.12,B. Valarmathi,ADMK,"76,214",32.06,"40,571"
